,title,cast,crew,genres,keywords
14,Man of Steel,"['HenryCavill', 'AmyAdams', 'MichaelShannon']",['ZackSnyder'],"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['savingtheworld', 'dccomics', 'superhero', 'basedoncomicbook', 'superhuman', 'alieninvasion', 'reboot', 'superpowers', 'dcextendeduniverse']"
15,The Chronicles of Narnia: Prince Caspian,"['BenBarnes', 'WilliamMoseley', 'AnnaPopplewell']",['AndrewAdamson'],"['Adventure', 'Family', 'Fantasy']","['basedonnovel', 'fictionalplace', 'brothersisterrelationship', 'lion', 'humanbeing', 'wretch', 'leapintime', 'matteroflifeanddeath', 'faith', 'uncle', 'narnia', 'fantasyworld']"
16,The Avengers,"['RobertDowneyJr.', 'ChrisEvans', 'MarkRuffalo']",['JossWhedon'],"['ScienceFiction', 'Action', 'Adventure']","['newyork', 'shield', 'marvelcomic', 'superhero', 'basedoncomicbook', 'alieninvasion', 'superheroteam', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse']"
17,Pirates of the Caribbean: On Stranger Tides,"['JohnnyDepp', 'PenélopeCruz', 'IanMcShane']",['RobMarshall'],"['Adventure', 'Action', 'Fantasy']","['sea', 'captain', 'mutiny', 'sword', 'primeminister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']"
18,Men in Black 3,"['WillSmith', 'TommyLeeJones', 'JoshBrolin']",['BarrySonnenfeld'],"['Action', 'Comedy', 'ScienceFiction']","['timetravel', 'timemachine', 'alien', 'fictionalgovernmentagency', 'seeingthefuture', 'changinghistory']"
19,The Hobbit: The Battle of the Five Armies,"['MartinFreeman', 'IanMcKellen', 'RichardArmitage']",['PeterJackson'],"['Action', 'Adventure', 'Fantasy']","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth(tolkien)', 'hobbit', 'dragon', 'battle', 'unlikelyfriendship', 'epicbattle', 'swordandsorcery']"
20,The Amazing Spider-Man,"['AndrewGarfield', 'EmmaStone', 'RhysIfans']",['MarcWebb'],"['Action', 'Adventure', 'Fantasy']","['lossoffather', 'vigilante', 'serum', 'marvelcomic', 'scientificexperiment', 'spiderbite', 'maskedvigilante', 'reboot', 'superpowers', 'geneticengineering', 'socialoutcast', 'duringcreditsstinger']"
21,Robin Hood,"['RussellCrowe', 'CateBlanchett', 'MaxvonSydow']",['RidleyScott'],"['Action', 'Adventure']","['robinhood', 'archer', 'knight', 'sherwoodforest', 'bowandarrow', 'middleages', 'medieval', 'kingofengland']"
22,The Hobbit: The Desolation of Smaug,"['MartinFreeman', 'IanMcKellen', 'RichardArmitage']",['PeterJackson'],"['Adventure', 'Fantasy']","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'swordandsorcery']"
23,The Golden Compass,"['DakotaBlueRichards', 'NicoleKidman', 'DanielCraig']",['ChrisWeitz'],"['Adventure', 'Fantasy']","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polarbear', 'orphan', 'animal', 'basedonyoungadultnovel']"
24,King Kong,"['NaomiWatts', 'JackBlack', 'AdrienBrody']",['PeterJackson'],"['Adventure', 'Drama', 'Action']","['filmbusiness', 'screenplay', 'showbusiness', 'filmmaking', 'filmproducer', 'exoticisland', 'monster', 'indigenous', 'ship', 'dinosaur']"
25,Titanic,"['KateWinslet', 'LeonardoDiCaprio', 'FrancesFisher']",['JamesCameron'],"['Drama', 'Romance', 'Thriller']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'oceanliner', 'epic', 'richwoman-poorman', 'love', 'disaster', 'tragiclove', 'classdifferences', 'imax', 'starcrossedlovers', 'steerage', 'salvage', 'richsnob', '3d', '1910s']"
26,Captain America: Civil War,"['ChrisEvans', 'RobertDowneyJr.', 'ScarlettJohansson']",['AnthonyRusso'],"['Adventure', 'Action', 'ScienceFiction']","['civilwar', 'war', 'marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d']"
27,Battleship,"['TaylorKitsch', 'AlexanderSkarsgård', 'Rihanna']",['PeterBerg'],"['Thriller', 'Action', 'Adventure', 'ScienceFiction']","['fight', 'u.s.navy', 'mindreading', 'hongkong', 'soccer', 'scientist', 'fictionalwar', 'naval', 'armada', 'battleship', 'navalcombat', 'jdsmyoko', 'lostcommunication', 'taser', 'buoy', 'communicationsexpert', 'jointchiefsofstaff', 'crashlanding', 'jetfighterpilot', 'navylieutenant', 'permissiontomarry', 'ussjohnpauljones', 'basedonboardgame', 'aftercreditsstinger', 'mightymo', 'ussmissouri']"
28,Jurassic World,"['ChrisPratt', 'BryceDallasHoward', 'IrrfanKhan']",['ColinTrevorrow'],"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['monster', 'dna', 'tyrannosaurusrex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusementpark', 'animalattack', 'themepark', 'jurassicpark', '3d', 'animalhorror']"
29,Skyfall,"['DanielCraig', 'JudiDench', 'JavierBardem']",['SamMendes'],"['Action', 'Adventure', 'Thriller']","['spy', 'secretagent', 'sociopath', 'killer', 'artgallery', 'britishsecretservice', 'istanbulturkey', 'imax', 'uzi', 'boobytrap', 'impersonatingapoliceofficer', 'macao']"
30,Spider-Man 2,"['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",['SamRaimi'],"['Action', 'Adventure', 'Fantasy']","['dualidentity', ""loveofone'slife"", 'pizzaboy', 'marvelcomic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'supervillain']"
31,Iron Man 3,"['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle']",['ShaneBlack'],"['Action', 'Adventure', 'ScienceFiction']","['terrorist', 'waronterror', 'tennessee', 'malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'tonystark', 'ironman', 'aftercreditsstinger', 'marvelcinematicuniverse', 'mandarin', '3d', 'warmachine', 'ironpatriot', 'extremis']"
32,Alice in Wonderland,"['MiaWasikowska', 'JohnnyDepp', 'AnneHathaway']",['TimBurton'],"['Family', 'Fantasy', 'Adventure']","['basedonnovel', 'fictionalplace', 'queen', 'fantasy', 'aliceinwonderland', 'fantasyworld', '3d']"
33,X-Men: The Last Stand,"['HughJackman', 'HalleBerry', 'IanMcKellen']",['BrettRatner'],"['Adventure', 'Action', 'ScienceFiction', 'Thriller']","['mutant', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']"
34,Monsters University,"['BillyCrystal', 'JohnGoodman', 'SteveBuscemi']",['DanScanlon'],"['Animation', 'Family']","['monster', 'dormitory', 'games', 'animation', 'bestfriend', 'university', 'scary', 'aftercreditsstinger']"
35,Transformers: Revenge of the Fallen,"['ShiaLaBeouf', 'MeganFox', 'JoshDuhamel']",['MichaelBay'],"['ScienceFiction', 'Action', 'Adventure']","['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']"
36,Transformers: Age of Extinction,"['MarkWahlberg', 'StanleyTucci', 'KelseyGrammer']",['MichaelBay'],"['ScienceFiction', 'Action', 'Adventure']","['sequel', 'alien', 'transformers', 'giantrobot', 'robot', 'imax', 'transformingrobot']"
37,Oz: The Great and Powerful,"['JamesFranco', 'MilaKunis', 'RachelWeisz']",['SamRaimi'],"['Fantasy', 'Adventure', 'Family']","['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magictrick', 'wizard', '3d']"
38,The Amazing Spider-Man 2,"['AndrewGarfield', 'EmmaStone', 'JamieFoxx']",['MarcWebb'],"['Action', 'Adventure', 'Fantasy']","['obsession', 'marvelcomic', 'sequel', 'basedoncomicbook', 'electrocution', 'medicalexperiment', 'electricity', 'superpowers']"
39,TRON: Legacy,"['GarrettHedlund', 'JeffBridges', 'OliviaWilde']",['JosephKosinski'],"['Adventure', 'Action', 'ScienceFiction']","['artificialintelligence', 'secretidentity', 'computerprogram', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neonlight', 'autocracy']"
40,Cars 2,"['OwenWilson', 'LarrytheCableGuy', 'MichaelCaine']",['JohnLasseter'],"['Animation', 'Family', 'Adventure', 'Comedy']","['carrace', 'sequel', 'comedy', 'anthropomorphism', 'bestfriend', 'duringcreditsstinger']"
41,Green Lantern,"['RyanReynolds', 'BlakeLively', 'PeterSarsgaard']",['MartinCampbell'],"['Adventure', 'Action', 'Thriller', 'ScienceFiction']","['dccomics', 'transformation', 'superhero', 'alien', 'alieninfection', 'magicalobject', 'protector', 'superpowers', 'origin', '3d']"
42,Toy Story 3,"['TomHanks', 'TimAllen', 'NedBeatty']",['LeeUnkrich'],"['Animation', 'Family', 'Comedy']","['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'daycare', 'teddybear', 'duringcreditsstinger', 'toycomestolife', 'personification', 'inanimateobjectscomingtolife', 'toystory']"
43,Terminator Salvation,"['ChristianBale', 'SamWorthington', 'AntonYelchin']",['McG'],"['Action', 'ScienceFiction', 'Thriller']","['savingtheworld', 'artificialintelligence', 'prophecy', 'sanfrancisco', 'cyborg', 'killerrobot', 'gasstation', 'post-apocalyptic', 'dystopia', 'army', 'firearm', 'wartime', 'losangeles']"
44,Furious 7,"['VinDiesel', 'PaulWalker', 'DwayneJohnson']",['JamesWan'],['Action'],"['carrace', 'speed', 'revenge', 'suspense', 'car', 'race', 'musclecar']"
45,World War Z,"['BradPitt', 'MireilleEnos', 'AbigailHargrove']",['MarcForster'],"['Action', 'Drama', 'Horror', 'ScienceFiction', 'Thriller']","['dystopia', 'apocalypse', 'zombie', 'nuclearweapons', 'multipleperspectives', 'zombieapocalypse']"
46,X-Men: Days of Future Past,"['HughJackman', 'JamesMcAvoy', 'MichaelFassbender']",['BryanSinger'],"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['1970s', 'mutant', 'timetravel', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'storm', 'beast', 'aftercreditsstinger', 'changingthepastorfuture']"
47,Star Trek Into Darkness,"['ChrisPine', 'ZacharyQuinto', 'ZoeSaldana']",['J.J.Abrams'],"['Action', 'Adventure', 'ScienceFiction']","['spacecraft', 'friendship', 'sequel', 'futuristic', 'space', 'alien', 'imax', 'spaceopera', 'terroristbombing', '3d']"
48,Jack the Giant Slayer,"['NicholasHoult', 'EleanorTomlinson', 'EwanMcGregor']",['BryanSinger'],"['Action', 'Family', 'Fantasy']","['basedonfairytale', 'giant']"
49,The Great Gatsby,"['LeonardoDiCaprio', 'TobeyMaguire', 'CareyMulligan']",['BazLuhrmann'],"['Drama', 'Romance']","['basedonnovel', 'infidelity', 'obsession', 'hope', '3d']"
50,Prince of Persia: The Sands of Time,"['JakeGyllenhaal', 'GemmaArterton', 'BenKingsley']",['MikeNewell'],"['Adventure', 'Fantasy', 'Action', 'Romance']","['persia', 'sandstorm', 'brotheragainstbrother', 'armageddon', 'regent', 'basedonvideogame']"
51,Pacific Rim,"['IdrisElba', 'CharlieHunnam', 'CharlieDay']",['GuillermodelToro'],"['Action', 'ScienceFiction', 'Adventure']","['dystopia', 'giantrobot', 'giantmonster', 'apocalypse', 'imax', 'duringcreditsstinger', '3d']"
52,Transformers: Dark of the Moon,"['ShiaLaBeouf', 'JohnMalkovich', 'KenJeong']",['MichaelBay'],"['Action', 'ScienceFiction', 'Adventure']","['moon', 'spacecraft', 'traitor', 'bodyguard', 'alienplanet', 'basedoncartoon', 'transformers', 'giantrobot', 'sabotage', 'worddomination', 'commando', 'duringcreditsstinger']"
53,Indiana Jones and the Kingdom of the Crystal Skull,"['HarrisonFord', 'CateBlanchett', 'ShiaLaBeouf']",['StevenSpielberg'],"['Adventure', 'Action']","['savingtheworld', 'riddle', 'whip', 'treasure', 'mexicocity', 'leatherjacket', 'machinegun', 'alienphenomenons', 'mayacivilization', 'peru', 'treasurehunt', 'nuclearexplosion', 'refrigerator', 'archaeologist', 'indianajones', 'archeology\xa0']"
54,The Good Dinosaur,"['RaymondOchoa', 'JackBright', 'JeffreyWright']",['PeterSohn'],"['Adventure', 'Animation', 'Family']","['tyrannosaurusrex', 'friends', 'alternatehistory', 'dinosaur', 'fear', 'storm', 'nature', 'human', 'journey']"
55,Brave,"['KellyMacdonald', 'JulieWalters', 'BillyConnolly']",['BrendaChapman'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","['scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'bear', 'scot', 'rebelliousdaughter', 'turnsintoanimal', 'archery', 'ruins', 'aftercreditsstinger', 'peaceoffering', 'womandirector', 'courage', '3d']"
56,Star Trek Beyond,"['ChrisPine', 'ZacharyQuinto', 'KarlUrban']",['JustinLin'],"['Action', 'Adventure', 'ScienceFiction']","['sequel', 'stranded', 'hatred', 'spaceopera']"
57,WALL·E,"['BenBurtt', 'ElissaKnight', 'JeffGarlin']",['AndrewStanton'],"['Animation', 'Family']",['romanticcomedy']
58,Rush Hour 3,"['ChrisTucker', 'JackieChan', 'HiroyukiSanada']",['BrettRatner'],"['Action', 'Comedy', 'Crime', 'Thriller']",['ambassador']
59,2012,"['JohnCusack', 'AmandaPeet', 'ChiwetelEjiofor']",['RolandEmmerich'],"['Action', 'Adventure', 'ScienceFiction']","['civilization', 'naturaldisaster', 'endoftheworld', 'disaster', 'apocalypse', 'destruction', 'volcaniceruption', 'mayan', 'ark', 'solar', 'destructionofmankind']"
60,A Christmas Carol,"['GaryOldman', 'JimCarrey', 'SteveValentine']",['RobertZemeckis'],"['Animation', 'Drama']","['holiday', 'basedonnovel', 'victorianengland', 'money', 'christmaseve', 'scrooge', 'christmascarol', 'ghost', 'lesson', 'charlesdickens', 'christmas']"
61,Jupiter Ascending,"['MilaKunis', 'ChanningTatum', 'SeanBean']",['LillyWachowski'],"['ScienceFiction', 'Fantasy', 'Action', 'Adventure']","['jupiter', 'space', 'womandirector', '3d', 'interspeciesromance']"
62,The Legend of Tarzan,"['AlexanderSkarsgård', 'MargotRobbie', 'ChristophWaltz']",['DavidYates'],"['Action', 'Adventure']","['africa', 'feralchild', 'tarzan', 'jungle', 'animalattack']"
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['WilliamMoseley', 'AnnaPopplewell', 'SkandarKeynes']",['AndrewAdamson'],"['Adventure', 'Family', 'Fantasy']","['savingtheworld', 'witch', 'basedonnovel', 'brothersisterrelationship', 'selfsacrifice', 'winter', 'cupboard', 'beaver', 'lion', 'fairy-talefigure', 'battle', 'narnia', 'fantasyworld', 'duringcreditsstinger']"
64,X-Men: Apocalypse,"['JamesMcAvoy', 'MichaelFassbender', 'JenniferLawrence']",['BryanSinger'],['ScienceFiction'],"['mutant', 'supernaturalpowers', 'marvelcomic', 'superhero', 'basedoncomicbook', 'superhuman', 'apocalypse', 'superheroteam', 'worlddomination', 'aftercreditsstinger', '1980s']"
65,The Dark Knight,"['ChristianBale', 'HeathLedger', 'AaronEckhart']",['ChristopherNolan'],"['Drama', 'Action', 'Crime', 'Thriller']","['dccomics', 'crimefighter', 'secretidentity', 'scarecrow', 'sadism', 'chaos', 'gothamcity', 'vigilante', 'joker', 'superhero', 'basedoncomicbook', 'tragichero', 'organizedcrime', 'criminalmastermind', 'districtattorney', 'imax', 'supervillain', 'superpowers', 'batman']"
66,Up,"['EdAsner', 'ChristopherPlummer', 'JordanNagai']",['PeteDocter'],"['Animation', 'Comedy', 'Family', 'Adventure']","['agedifference', 'centralandsouthamerica', 'balloon', 'animation', 'floatingintheair', 'duringcreditsstinger', 'exploring']"
67,Monsters vs Aliens,"['SethRogen', 'ReeseWitherspoon', 'HughLaurie']",['ConradVernon'],"['Animation', 'Family', 'Adventure', 'ScienceFiction']","['alien', 'giantrobot', 'duringcreditsstinger']"
68,Iron Man,"['RobertDowneyJr.', 'TerrenceHoward', 'JeffBridges']",['JonFavreau'],"['Action', 'ScienceFiction', 'Adventure']","['middleeast', 'armsdealer', 'malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'tonystark', 'ironman', 'aftercreditsstinger', 'marvelcinematicuniverse', 'counterterrorism', 'agentcoulson']"
69,Hugo,"['BenKingsley', 'SachaBaronCohen', 'AsaButterfield']",['MartinScorsese'],"['Adventure', 'Drama', 'Family']","['library', 'clock', 'filmdirector', 'key', 'toy', 'boy', 'love', 'orphan', 'robot', 'automaton', 'hiding', 'filmmaking', 'legbrace', 'doberman', '3d']"
70,Wild Wild West,"['WillSmith', 'KevinKline', 'KennethBranagh']",['BarrySonnenfeld'],"['Action', 'Adventure', 'Comedy', 'ScienceFiction', 'Western']","['steampunk', 'basedontvseries', 'steamlocomotive', 'drag']"
71,The Mummy: Tomb of the Dragon Emperor,"['BrendanFraser', 'JetLi', 'JohnHannah']",['RobCohen'],"['Adventure', 'Action', 'Fantasy']",[]
72,Suicide Squad,"['WillSmith', 'MargotRobbie', 'JoelKinnaman']",['DavidAyer'],"['Action', 'Adventure', 'Crime', 'Fantasy', 'ScienceFiction']","['dccomics', 'shareduniverse', 'antihero', 'secretmission', 'villain', 'superhero', 'supervillain', 'dcextendeduniverse']"
73,Evan Almighty,"['SteveCarell', 'LaurenGraham', 'JohnGoodman']",['TomShadyac'],"['Fantasy', 'Comedy', 'Family']","['fathersonrelationship', 'dailylife', 'marriedcouple', 'support', 'father', 'marriage', 'faith', 'baustelle', 'rescue', 'animal', 'nature', 'duringcreditsstinger', ""noah'sark""]"
74,Edge of Tomorrow,"['TomCruise', 'EmilyBlunt', 'BrendanGleeson']",['DougLiman'],"['Action', 'ScienceFiction']","['dejavu', 'timewarp', 'restart', 'dystopia', 'war', 'alien', 'militaryofficer', 'soldier', 'alieninvasion', 'exoskeleton']"
75,Waterworld,"['KevinCostner', 'ChaimGirafi', 'RickAviles']",['KevinReynolds'],"['Adventure', 'Action']","['ocean', 'tattoo', 'mutant', 'water', 'dystopia', 'doomsday']"
76,G.I. Joe: The Rise of Cobra,"['DennisQuaid', 'ChanningTatum', 'MarlonWayans']",['StephenSommers'],"['Adventure', 'Action', 'Thriller', 'ScienceFiction']","['terrorist', 'secret', 'hostage', 'technology', 'warhead', 'government', 'president', 'revenge', 'murder', 'attack', 'explosion', 'scientist', 'lasers', 'evil', 'cobra']"
77,Inside Out,"['AmyPoehler', 'PhyllisSmith', 'RichardKind']",['PeteDocter'],"['Drama', 'Comedy', 'Animation', 'Family']","['dream', 'cartoon', 'imaginaryfriend', 'animation', 'family', 'moving', 'kids', 'unicorn', 'duringcreditsstinger', '3d', 'emotions']"
78,The Jungle Book,"['NeelSethi', 'BillMurray', 'BenKingsley']",['JonFavreau'],"['Family', 'Adventure', 'Drama', 'Fantasy']","['basedonnovel', 'snake', 'wolf', 'elephant', 'tiger', 'feralchild', 'panther', 'remake', 'bear', 'jungle', 'talkinganimal', 'orphan', 'animal', 'talkingtoanimals']"
79,Iron Man 2,"['RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle']",['JonFavreau'],"['Adventure', 'Action', 'ScienceFiction']","['malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'revenge', 'aftercreditsstinger', 'marvelcinematicuniverse']"
80,Snow White and the Huntsman,"['KristenStewart', 'CharlizeTheron', 'ChrisHemsworth']",['RupertSanders'],"['Adventure', 'Fantasy', 'Drama']","['queen', 'magic', 'fairytale', 'immortality', 'forest', 'deception', 'woman', 'eternalyouth', 'snowwhite', 'evilqueen', 'evilstepmother', 'imprisoned', 'sorceress']"
81,Maleficent,"['AngelinaJolie', 'ElleFanning', 'SharltoCopley']",['RobertStromberg'],"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']","['fairytale', 'villain', 'sleepingbeauty', 'darkfantasy', 'basedonfairytale', 'adaptation', 'retelling', 'literaryadaptation', '3d']"
82,Dawn of the Planet of the Apes,"['AndySerkis', 'JasonClarke', 'GaryOldman']",['MattReeves'],"['ScienceFiction', 'Action', 'Drama', 'Thriller']","['leader', 'colony', 'post-apocalyptic', 'dystopia', 'forest', 'sequel', 'woods', 'ape', 'scientist', 'monkey', 'medicalresearch', 'animalattack', 'plague', '3d']"
83,The Lovers,"['JoshHartnett', 'SimoneKessell', 'TamsinEgerton']",['RolandJoffé'],"['Action', 'Adventure', 'ScienceFiction', 'Romance']",[]
84,47 Ronin,"['KeanuReeves', 'HiroyukiSanada', 'KouShibasaki']",['CarlRinsch'],"['Drama', 'Action', 'Adventure', 'Fantasy']","['japan', 'suicide', 'samurai', 'basedontruestory', 'samuraisword', 'ronin', 'shogun', 'halfbreed', '3d']"
85,Captain America: The Winter Soldier,"['ChrisEvans', 'SamuelL.Jackson', 'ScarlettJohansson']",['AnthonyRusso'],"['Action', 'Adventure', 'ScienceFiction']","['washingtond.c.', 'future', 'shield', 'marvelcomic', 'superhero', 'basedoncomicbook', 'captainamerica', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d', 'politicalthriller']"
86,Shrek Forever After,"['MikeMyers', 'EddieMurphy', 'CameronDiaz']",['MikeMitchell'],"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']","['ogre', '3d']"
87,Tomorrowland,"['BrittRobertson', 'GeorgeClooney', 'RaffeyCassidy']",['BradBird'],"['Adventure', 'Family', 'Mystery', 'ScienceFiction']","['inventor', 'apocalypse', 'destiny', 'imax', 'dreamer', 'futuristiccar', 'futuristiccity']"
88,Big Hero 6,"['ScottAdsit', 'RyanPotter', 'DanielHenney']",['ChrisWilliams'],"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['brotherbrotherrelationship', 'hero', 'talent', 'revenge', 'bestfriend', 'anotherdimension', 'robot', 'boygenius', 'hate', 'aftercreditsstinger', 'moraldilemma', '3d', 'teensuperheroes', 'deadbrother']"
89,Wreck-It Ralph,"['JohnC.Reilly', 'SarahSilverman', 'JackMcBrayer']",['RichMoore'],"['Family', 'Animation', 'Comedy', 'Adventure']","['supportgroup', 'productplacement', 'bullying', 'racing', 'arcade', 'medal', 'selfesteem', 'curiosity', 'precociouschild', 'aftercreditsstinger', 'duringcreditsstinger', 'firstpersonshooter', 'glitch', 'carefree', 'videogamer', 'q*bert', 'interruptedwedding', 'socialreject']"
90,The Polar Express,"['TomHanks', 'MichaelJeter', 'NonaGaye']",['RobertZemeckis'],"['Adventure', 'Animation', 'Family', 'Fantasy']","['santaclaus', 'nerd', 'faith', 'gift', 'bell', 'beard', 'northpole', 'chute', 'trestle', 'ticket', 'christmas']"
91,Independence Day: Resurgence,"['LiamHemsworth', 'JeffGoldblum', 'BillPullman']",['RolandEmmerich'],"['Action', 'Adventure', 'ScienceFiction']","['alternatehistory', 'alieninvasion']"
